1,Черкаська область,Черкасская область,ua,2,черк обл,черк обл,черкащина,
2,Чернігівська область,Черниговская область,ua,2,черніг обл,черниг обл,чернігівщина,черниговщина
3,Чернівецька область,Черновицкая область,ua,2,чернів обл,чернов обл,чернівеччина,
4,Дніпропетровська область,Днепропетровская область,ua,2,дніпр обл,днепр обл,дніпропетровщина,днепропетровщина
5,Донецька область,Донецкая область,ua,4,донец обл,донец обл,донеччина;днр;донбас,днр;донбасс
6,Харківська область,Харьковская область,ua,3,харків обл,харьк обл,харківщина,харьковщина
7,Херсонська область,Херсонская область,ua,4,херсон обл,херсон обл,херсонщина,херсонщина
8,Хмельницька область,Хмельницкая область,ua,2,хмел обл,хмел обл,хмельниччина,хмельнитчина
9,Івано-Франківська область,Ивано-Франковская область,ua,2,івано-франк обл,ивано-франк обл,івано-франківщина,
10,Кіровоградська область,Кировоградская область,ua,2,кіровог обл,кировог обл,кіровоградщина,кировоградщина
11,Київська область,Киевская область,ua,2,київ обл,киев обл,київщина,киевщина
12,Луганська область,Луганская область,ua,3,луган обл,луган обл,луганщина;лнр,луганщина;лнр
13,Львівська область,Львовская область,ua,2,львів обл,львов обл,львівщина,львовщина
14,Миколаївська область,Николаевская область,ua,3,микол обл,никол обл,миколаївщина,николаевщина
15,Одеська область,Одесская область,ua,2,одес обл,одес обл,одещина,
16,Полтавська область,Полтавская область,ua,2,полтав обл,полтав обл,полтавщина,полтавщина
17,Рівненська область,Ровенская область,ua,2,рівн обл,ровн обл,рівненщина,ровенщина
18,Сумська область,Сумская область,ua,2,сумс обл,сумс обл,сумщина,сумщина
19,Тернопільська область,Тернопольская область,ua,2,терноп обл,терноп обл,тернопільщина,тернопольщина
20,Вінницька область,Винницкая область,ua,2,вінн обл,винн обл,вінниччина,
21,Волинська область,Волынская область,ua,2,волин обл,волын обл,волинщина,
22,Закарпатська область,Закарпатская область,ua,2,закарп обл,запор обл,закарпаччина,
23,Запорізька область,Запорожская область,ua,4,запор обл,закарп обл,запоріжчина,
24,Житомирська область,Житомирская область,ua,2,житом обл,житом обл,житомирщина,житомирщина
25,Крим,Крым,ua,2,,,,
30,Брестська область,Брестская область,by,1,,,,
31,Вітебська область,Витебская область,by,1,,,,
32,Гомельська область,Гомельская область,by,1,,,,
33,Гродненська область,Гродненская область,by,1,,,,
34,Мінська область,Минская область,by,1,,,,
35,Могильовська область,Могилевская область,by,1,,,,
50,Ростовська область,Ростовская область,ru,1,,,,
51,Воронезька область,Воронежская область,ru,1,,,,
52,Білгородська область,Белгородская область,ru,1,,,,
53,Курська область,Курская область,ru,1,,,,
54,Брянська область,Брянская область,ru,1,,,,
55,Краснодарський край,Краснодарский край,ru,1,,,,